game,publisher,min_rtp,max_rtp,
Magical Grove,Amaya Gaming,97.0,97.0,
Mexican Cook,World Match,97.0,97.0,
Monkey 27,Tom Horn Gaming,97.0,97.0,
Monopoly Electric Wins,WMS Gaming,97.0,97.0,
Motorhead,Net Entertainment,97.0,97.0,
Muse,Net Entertainment,97.0,97.0,
Nian Nian You Yu,Playtech,97.0,97.0,
Page of Fortune Deluxe,Zeus Play,97.0,97.0,
Pollen Party,Microgaming,97.0,97.0,
Queen of Wands,Playtech,97.0,97.0,
Reel Thunder,Microgaming,97.0,97.0,
Royal Jewels,Zeus Play,97.0,97.0,
Scoop the Cash,Microgaming,97.0,97.0,
Serengeti Diamonds,Amaya Gaming,97.0,97.0,
Silver Spurs,Galewind Software,97.0,97.0,
Sinbad's Golden Voyage,Ash Gaming,97.0,97.0,
Skazka,Playtech,97.0,97.0,
Space Hunters,PlayPearls,97.0,97.0,
Steam Tower,Net Entertainment,97.0,97.0,
Sun Quest,Microgaming,97.0,97.0,
SunTide,Microgaming,97.0,97.0,
The Great Casini,Amaya Gaming,97.0,97.0,
The True Sheriff,Betsoft,97.0,97.0,
Treasure Palace,Microgaming,97.0,97.0,
Triple Joker,Tom Horn Gaming,97.0,97.0,
Triple Monkey,Skywind Group,97.0,97.0,
True Illusions,Betsoft,97.0,97.0,
Vampire Killer,World Match,97.0,97.0,
When Pigs Fly,Net Entertainment,97.0,97.0,
Wild Chapo,Relax Gaming,97.0,97.0,
Wild Swarm,Push Gaming,97.0,97.0,
Wilhelm Tell,Yggdrasil Gaming,97.0,97.0,
Xmas Joker,Play'n Go,97.0,97.0,
Zhao Cai Tong Zi,Playtech,97.0,97.0,
Alibaba,Leander Games,96.9,96.9,
Aztec Slots,GamesOS,96.9,96.9,
Big Top,Microgaming,96.9,96.9,
Bloodsuckers II,Net Entertainment,96.9,96.9,
Carnaval,Microgaming,96.9,96.9,
Chilli Gold,Amaya Gaming,96.9,96.9,
Chinese Kitchen,Playtech,96.9,96.9,
Cinerama,Playtech,96.9,96.9,
Cosmic Fortune,Net Entertainment,96.9,96.9,
Crazy 80s,Microgaming,96.9,96.9,
Dazzle Me,Net Entertainment,96.9,96.9,
Dragon Slot,Leander Games,96.9,96.9,
Dragons' Awakening,Relax Gaming,96.9,96.9,
East Wind Battle,Skywind Group,96.9,96.9,
Erik the Red,Relax Gaming,96.9,96.9,
Fei Cui Gong Zhu,Playtech,96.9,96.9,
Fortune Rangers,Net Entertainment,96.9,96.9,
Genie's Touch,Quickspin,96.9,96.9,
Gold Trophy 2,Play'n Go,96.9,96.9,
Hearts and Dragons,Skywind Group,96.9,96.9,
Immortal Romance,Microgaming,96.9,96.9,
Imperial Riches,Net Entertainment,96.9,96.9,
Jimi Hendrix,Net Entertainment,96.9,96.9,
King of Three Kingdoms,Net Entertainment,96.9,96.9,
Myth,Play'n Go,96.9,96.9,
Ned and his Friends,Betsoft,96.9,96.9,
Neon Staxx,Net Entertainment,96.9,96.9,
Pearl Lagoon,Play'n Go,96.9,96.9,
Pearls of India,Play'n Go,96.9,96.9,
Queen of Riches,Big Time Gaming,96.9,96.9,
Queen of Wands,Skywind Group,96.9,96.9,
Silver Bullet,Playtech,96.9,96.9,
Slots Angels,Betsoft,96.9,96.9,
The Shadow Order,Push Gaming,96.9,96.9,
Victorious,Net Entertainment,96.9,96.9,
Warlords: Crystals of Power,Net Entertainment,96.9,96.9,
What a Hoot,Microgaming,96.9,96.9,
Wild Wheel,Push Gaming,96.9,96.9,
Zombie Circus,Relax Gaming,96.9,96.9,
Funky Monkey,Playtech,96.8,96.9,
Tres Amigos,Playtech,96.8,96.9,
Arcane: Reel Chaos,Net Entertainment,96.8,96.8,
Archer,Playtech,96.8,96.8,
Beach,Net Entertainment,96.8,96.8,
Bust the Bank,Microgaming,96.8,96.8,
Candy Dreams,Microgaming,96.8,96.8,
Chilli Festival,Skywind Group,96.8,96.8,
Dead or Alive,Net Entertainment,96.8,96.8,
Dead or Alive 2,Net Entertainment,96.8,96.8,
Dwarf Mine,Yggdrasil Gaming,96.8,96.8,
Easter Eggs,Play'n Go,96.8,96.8,
Football: Champions Cup,Net Entertainment,96.8,96.8,
Frankenslot's Monster,Betsoft,96.8,96.8,
Fruit Spin,Net Entertainment,96.8,96.8,
Gemix,Play'n Go,96.8,96.8,
Gladiator,Betsoft,96.8,96.8,
Goldilocks and the Wild Bears,Quickspin,96.8,96.8,
Great Griffin,Microgaming,96.8,96.8,
Heart 2 Heart,Skywind Group,96.8,96.8,
High Society,Microgaming,96.8,96.8,
Holmes & the Stolen Stones,Yggdrasil Gaming,96.8,96.8,
Hot as Hades,Microgaming,96.8,96.8,
Jammin' Jars,Push Gaming,96.8,96.8,
Joker Pro,Net Entertainment,96.8,96.8,
Kitchen Drama Sushi Mania,Nolimit City,96.8,96.8,
Leprechaun Goes Egypt,Play'n Go,96.8,96.8,
Lucky 8-Line,Net Entertainment,96.8,96.8,
Oktoberfest,Nolimit City,96.8,96.8,
Ortaköyün Yaramazi,Play'n Go,96.8,96.8,
Powerspin,Relax Gaming,96.8,96.8,
Robin Hood: Shifting Riches,Net Entertainment,96.8,96.8,
Scarface,Net Entertainment,96.8,96.8,
Space Wars,Net Entertainment,96.8,96.8,
Spartacus Super Colossal Reels,WMS Gaming,96.8,96.8,
Spiñata Grande,Net Entertainment,96.8,96.8,
Who's the Bride?,Net Entertainment,96.8,96.8,
Wild Gambler,Ash Gaming,96.8,96.8,
Winterberries,Yggdrasil Gaming,96.8,96.8,
8 Ball Slots,Playtech,96.7,96.9,
Attraction,Net Entertainment,96.7,96.7,
Aztec Idols,Play'n Go,96.7,96.7,
Bridesmaids,Microgaming,96.7,96.7,
Casino Win Spin,Nolimit City,96.7,96.7,
Chinese New Year,Play'n Go,96.7,96.7,
Crime Scene,Net Entertainment,96.7,96.7,
Dragon Island,Net Entertainment,96.7,96.7,
Drive: Multiplier Mayhem,Net Entertainment,96.7,96.7,
Egyptian Heroes,Net Entertainment,96.7,96.7,
Enchanted Crystals,Play'n Go,96.7,96.7,
Energoonz,Play'n Go,96.7,96.7,
Fairytale Legends: Hansel and Gretel,Net Entertainment,96.7,96.7,
Fisticuffs,Net Entertainment,96.7,96.7,
Fruit Shop: Christmas Edition,Net Entertainment,96.7,96.7,
Fruitoids,Yggdrasil Gaming,96.7,96.7,
Fun of the Fair,Gamesys,96.7,96.7,
Get Rocked,Microgaming,96.7,96.7,
Glow,Net Entertainment,96.7,96.7,
Golden Ticket,Play'n Go,96.7,96.7,
Iron Girl,Play'n Go,96.7,96.7,
It's Time!!,Relax Gaming,96.7,96.7,
Jurassic Park,Microgaming,96.7,96.7,
King of Cats,Big Time Gaming,96.7,96.7,
Kings of Cash,Microgaming,96.7,96.7,
Kitchen Drama BBQ Frenzy,Nolimit City,96.7,96.7,
Monkey Pays,Skywind Group,96.7,96.7,
Moonshine Riches,Net Entertainment,96.7,96.7,
Ninja Fruits,Play'n Go,96.7,96.7,
Opal Fruits,Big Time Gaming,96.7,96.7,
Ozwin's Jackpots,Yggdrasil Gaming,96.7,96.7,
Pinup Dolls,Mascot Gaming,96.7,96.7,
Puppy Love,Betsoft,96.7,96.7,
Razor Shark,Push Gaming,96.7,96.7,
Robotnik,Yggdrasil Gaming,96.7,96.7,
Ruby Pearl,Skywind Group,96.7,96.7,
Scrooge,Microgaming,96.7,96.7,
Secret of the Stones,Net Entertainment,96.7,96.7,
Secrets of Christmas,Net Entertainment,96.7,96.7,
Steinfest,Microgaming,96.7,96.7,
Stickers,Net Entertainment,96.7,96.7,
Sweet Honey Fruity,Net Entertainment,96.7,96.7,
The Wild Chase,Quickspin,96.7,96.7,
The Wolf's Bane,Net Entertainment,96.7,96.7,
Thief,Net Entertainment,96.7,96.7,
Thunderfist,Net Entertainment,96.7,96.7,
Titans of the Sun - Hyperion,Microgaming,96.7,96.7,
Titans of the Sun - Theia,Microgaming,96.7,96.7,
Troll Hunters,Play'n Go,96.7,96.7,
Viking Runecraft,Play'n Go,96.7,96.7,
Wicked Spins,Skywind Group,96.7,96.7,
Wild Rockets,Net Entertainment,96.7,96.7,
Wild Wild West: The Great Train Heist,Net Entertainment,96.7,96.7,
Wizard of Gems,Play'n Go,96.7,96.7,
Ace Round,Evoplay Entertainment,96.6,96.6,
Alaskan Fishing,Microgaming,96.6,96.6,
Alaxe In Zombieland,Genesis Gaming,96.6,96.6,
Alien Robots,Net Entertainment,96.6,96.6,
Arctic Fortune,Microgaming,96.6,96.6,
Battlestar Galactica,Microgaming,96.6,96.6,
BerryBurst,Net Entertainment,96.6,96.6,
Buffalo Lightning,Skywind Group,96.6,96.6,
Bush Telegraph,Microgaming,96.6,96.6,
Chocolates,Big Time Gaming,96.6,96.6,
Divine Fortune,Net Entertainment,96.6,96.6,
Double Jungle,Skywind Group,96.6,96.6,
Dracula,Net Entertainment,96.6,96.6,
Elemental Princess,Yggdrasil Gaming,96.6,96.6,
