game,publisher,min_rtp,max_rtp,
Hugo,Play'n Go,96.4,96.4,
Jammin' Jars 2,Push Gaming,96.4,96.4,
Kluster Krystals Megaclusters,Relax Gaming,96.4,96.4,
Labyrinth of Knossos Multijump,Yggdrasil Gaming,96.4,96.4,
Lilith's Inferno,Yggdrasil Gaming,96.4,96.4,
Lucky Eggsplorer,Microgaming,96.4,96.4,
Lucky Neko- Gigablox,Yggdrasil Gaming,96.4,96.4,
Lucky Witch,Microgaming,96.4,96.4,
Lumber Cats,Microgaming,96.4,96.4,
Magic Mushrooms,Yggdrasil Gaming,96.4,96.4,
Mega Fortune Dreams,Net Entertainment,96.4,96.4,
Money Train 2,Relax Gaming,96.4,96.4,
Phantom Cash,Microgaming,96.4,96.4,
Pirate from the East,Net Entertainment,96.4,96.4,
Plunderland,Relax Gaming,96.4,96.4,
Poltava,Elk Studios,96.4,96.4,
PopRocks,Yggdrasil Gaming,96.4,96.4,
Queen of the Jungle,Microgaming,96.4,96.4,
Racing For Pinks,Microgaming,96.4,96.4,
Reef Run,Yggdrasil Gaming,96.4,96.4,
Reel Spinner,Microgaming,96.4,96.4,
Rhyming Reels - Jack and Jill,Microgaming,96.4,96.4,
Robot Butler,Microgaming,96.4,96.4,
Santa vs Rudolf,Net Entertainment,96.4,96.4,
Savannah King,Tom Horn Gaming,96.4,96.4,
Scruffy Duck,Net Entertainment,96.4,96.4,
Shaolin's Tiger,Tom Horn Gaming,96.4,96.4,
Sonic 7s,Microgaming,96.4,96.4,
Spectra,Thunderkick,96.4,96.4,
Super Diamond Deluxe,Blueprint Gaming,96.4,96.4,
Survivor Megaways,Big Time Gaming,96.4,96.4,
Taco Brothers Save Christmas,Electracade,96.4,96.4,
The Argyle Open,Microgaming,96.4,96.4,
The Dark Knight Rises,Microgaming,96.4,96.4,
The Grand Journey,Microgaming,96.4,96.4,
The Invisible Man,Net Entertainment,96.4,96.4,
Thunderstruck II,Microgaming,96.4,96.4,
Tiki Tumble,Push Gaming,96.4,96.4,
Tribal Treasure,Microgaming,96.4,96.4,
Troll's Gold,Relax Gaming,96.4,96.4,
Tropical Wilds,Rabcat,96.4,96.4,
Under the Bed,Betsoft,96.4,96.4,
Untamed - Giant Panda,Microgaming,96.4,96.4,
Voila!,Microgaming,96.4,96.4,
Wheel of Fortune Megaways,Big Time Gaming,96.4,96.4,
Wild Robo Factory,Yggdrasil Gaming,96.4,96.4,
Wild Toro,Elk Studios,96.4,96.4,
Wild Water,Net Entertainment,96.4,96.4,
Wings of Paradise,Gamesys,96.4,96.4,
Winstar,Blueprint Gaming,96.4,96.4,
Winter Gold,Microgaming,96.4,96.4,
Your Lucky Day,Microgaming,96.4,96.4,
Jungle Boogie,Playtech,96.3,97.4,
Beauty and the Beast,Yggdrasil Gaming,96.3,97.1,
Ozzy Osbourne,Net Entertainment,96.3,96.7,
Lil' Devil,Big Time Gaming,96.3,96.4,
7 Sins,Play'n Go,96.3,96.3,
Aladdin & the Wild Genie,BGO Studios,96.3,96.3,
Asgardian Stones,Net Entertainment,96.3,96.3,
Avatars- Gateway Guardians,Yggdrasil Gaming,96.3,96.3,
Beast Mode,Relax Gaming,96.3,96.3,
Bicicleta,Yggdrasil Gaming,96.3,96.3,
Birthday!,Elk Studios,96.3,96.3,
Blackbeard's Quest,Tom Horn Gaming,96.3,96.3,
Brazil Bomba,Yggdrasil Gaming,96.3,96.3,
Cash-O-Matic,Net Entertainment,96.3,96.3,
Charms & Clovers,Betsoft,96.3,96.3,
China MegaWild,GamesOS,96.3,96.3,
Classic Fruits,1x2 Gaming,96.3,96.3,
Crystal Drop,Cozy Games,96.3,96.3,
Cyrus the Virus,Yggdrasil Gaming,96.3,96.3,
Diablo Reels,Elk Studios,96.3,96.3,
DJ Wild,Elk Studios,96.3,96.3,
Dragonz,Microgaming,96.3,96.3,
Dungeon Quest,Nolimit City,96.3,96.3,
Evolution,Net Entertainment,96.3,96.3,
Fairytale Legends: Red Riding Hood,Net Entertainment,96.3,96.3,
Feathered Frenzy,Big Time Gaming,96.3,96.3,
Flowers,Net Entertainment,96.3,96.3,
Forsaken Kingdom,Rabcat,96.3,96.3,
Girls With Guns II - Frozen Dawn,Microgaming,96.3,96.3,
Gopher Gold,Microgaming,96.3,96.3,
Halloween Jack,Net Entertainment,96.3,96.3,
Happy Riches,Net Entertainment,96.3,96.3,
Hazakura Ways,Relax Gaming,96.3,96.3,
Helios' Fury,Relax Gaming,96.3,96.3,
Hidden,Elk Studios,96.3,96.3,
Hit it Hard,Elk Studios,96.3,96.3,
Hong Kong Tower,Elk Studios,96.3,96.3,
Hot Air,Microgaming,96.3,96.3,
Hot Nudge,Nolimit City,96.3,96.3,
Houdini,Gamesys,96.3,96.3,
Hound Hotel,Microgaming,96.3,96.3,
Ignite the Night,Relax Gaming,96.3,96.3,
Ivanhoe,Elk Studios,96.3,96.3,
Jack and the Beanstalk,Net Entertainment,96.3,96.3,
Jackpot Raiders,Yggdrasil Gaming,96.3,96.3,
Joker Gems,Elk Studios,96.3,96.3,
Jumanji,Net Entertainment,96.3,96.3,
Jungle Jim - El Dorado,Microgaming,96.3,96.3,
Kaiju,Elk Studios,96.3,96.3,
Kathmandu,Microgaming,96.3,96.3,
La Casa De Papel Clasico,Skywind Group,96.3,96.3,
Lady in Red,Microgaming,96.3,96.3,
Lake's Five,Elk Studios,96.3,96.3,
Legend of Kaan,Evoplay Entertainment,96.3,96.3,
Lightning Joker,Yggdrasil Gaming,96.3,96.3,
Loaded,Microgaming,96.3,96.3,
Lost Relics,Net Entertainment,96.3,96.3,
Lucky Leprechaun,Microgaming,96.3,96.3,
Multifly!,Yggdrasil Gaming,96.3,96.3,
Neon Life,Ash Gaming,96.3,96.3,
Pirates- Smugglers Paradise,Yggdrasil Gaming,96.3,96.3,
Platooners,Elk Studios,96.3,96.3,
Prosperity Palace,Play'n Go,96.3,96.3,
Queen of the Pharaohs,Skywind Group,96.3,96.3,
Queen of the Tree Folk,Gamesys,96.3,96.3,
Rainbow Ryan,Yggdrasil Gaming,96.3,96.3,
Respin Circus,Elk Studios,96.3,96.3,
Route 777,Elk Studios,96.3,96.3,
Sails of Gold,Play'n Go,96.3,96.3,
Same on the Beach,Elk Studios,96.3,96.3,
Santa's Stack,Relax Gaming,96.3,96.3,
Secret Code,Net Entertainment,96.3,96.3,
Secret Santa,Microgaming,96.3,96.3,
Silver Fang,Microgaming,96.3,96.3,
Smoking Hot Fruits,1x2 Gaming,96.3,96.3,
Spina Colada,Yggdrasil Gaming,96.3,96.3,
Spinsane,Net Entertainment,96.3,96.3,
Sterling Silver,Microgaming,96.3,96.3,
Sterling Silver 3D,Microgaming,96.3,96.3,
Sunset Delight,Thunderkick,96.3,96.3,
Sure Win,Microgaming,96.3,96.3,
Sweet Harvest,Microgaming,96.3,96.3,
Taco Brothers,Elk Studios,96.3,96.3,
The Cup,Tom Horn Gaming,96.3,96.3,
The Exterminator,Betsoft,96.3,96.3,
The Lab,Elk Studios,96.3,96.3,
The One Armed Bandit,Yggdrasil Gaming,96.3,96.3,
The Rift,Thunderkick,96.3,96.3,
The Twisted Circus,Microgaming,96.3,96.3,
Tiger's Eye,Microgaming,96.3,96.3,
Tiki Island,Gamesys,96.3,96.3,
Tiki Island Jackpot,Gamesys,96.3,96.3,
Time Travel Tigers,Yggdrasil Gaming,96.3,96.3,
Totem Treasure,Microgaming,96.3,96.3,
Untamed - Crowned Eagle,Microgaming,96.3,96.3,
Valkyrie,Elk Studios,96.3,96.3,
Vegas Dreams,Big Time Gaming,96.3,96.3,
Victoria Wild,Yggdrasil Gaming,96.3,96.3,
Viking Runes,Yggdrasil Gaming,96.3,96.3,
Vikings Go Wild,Yggdrasil Gaming,96.3,96.3,
Who Wants to be a Millionaire?,Big Time Gaming,96.3,96.3,
Wicked 777,Skywind Group,96.3,96.3,
Wicked Flamingo,Skywind Group,96.3,96.3,
Wild Seas,Elk Studios,96.3,96.3,
Win Sum Dim Dum,Microgaming,96.3,96.3,
Wolf Cub,Net Entertainment,96.3,96.3,
Wolf Hunters,Yggdrasil Gaming,96.3,96.3,
Yokozuna Clash,Yggdrasil Gaming,96.3,96.3,
Sheik Yer Money,Barcrest,96.2,98.2,
Diamond Valley,Playtech,96.2,97.2,
Extra Chilli,Big Time Gaming,96.2,96.8,
Ace Ventura,Ash Gaming,96.2,96.2,
Age of Asgard,Yggdrasil Gaming,96.2,96.2,
Age of Discovery,Microgaming,96.2,96.2,
Arthur's Fortune,Yggdrasil Gaming,96.2,96.2,
Aztec Adventure,Bee-Fee,96.2,96.2,
Big Blox,Yggdrasil Gaming,96.2,96.2,
Big Kahuna,Microgaming,96.2,96.2,
Big Kahuna Snakes and Ladders,Microgaming,96.2,96.2,
Blender Blitz,Relax Gaming,96.2,96.2,
Blood Moon Wilds,Yggdrasil Gaming,96.2,96.2,
Burning Desire,Microgaming,96.2,96.2,
Cabin Fever,Microgaming,96.2,96.2,
Carol of the Elves,Yggdrasil Gaming,96.2,96.2,
Chibeasties,Yggdrasil Gaming,96.2,96.2,
Chibeasties 2,Yggdrasil Gaming,96.2,96.2,
Chocolate Factory,Microgaming,96.2,96.2,
Crazy Cows,Play'n Go,96.2,96.2,
Crystal Queen,Quickspin,96.2,96.2,
Dead Man's Trail,Relax Gaming,96.2,96.2,
Desert Treasure II,Playtech,96.2,96.2,
Dolphin's Pearl Deluxe,Novomatic,96.2,96.2,
Double Wammy,Microgaming,96.2,96.2,
Dr Fortuno,Yggdrasil Gaming,96.2,96.2,
Dr Jekyll & Mr Hyde,Betsoft,96.2,96.2,
East Sea Dragon King,Net Entertainment,96.2,96.2,
Elementals,Microgaming,96.2,96.2,
Enchanted Meadow,Play'n Go,96.2,96.2,
Faeries Fortune,Big Time Gaming,96.2,96.2,
Fields of Fortune,Playtech,96.2,96.2,
Fire Joker,Play'n Go,96.2,96.2,
Flux,Thunderkick,96.2,96.2,
Fortune Year,Net Entertainment,96.2,96.2,
Fruits,Nolimit City,96.2,96.2,
Gem Rocks,Yggdrasil Gaming,96.2,96.2,
Giant's Gold,WMS Gaming,96.2,96.2,
Gods of Gold,Net Entertainment,96.2,96.2,
Golden Caravan,Play'n Go,96.2,96.2,
Grand Spinn,Net Entertainment,96.2,96.2,
Grand Spinn Superpot,Net Entertainment,96.2,96.2,
Gung Pow,Microgaming,96.2,96.2,
Horror Hotel,Relax Gaming,96.2,96.2,
Hot Habanero,Cozy Games,96.2,96.2,
Ice Ice Yeti,Nolimit City,96.2,96.2,
Iron Bank,Relax Gaming,96.2,96.2,
Jackpot Express,Yggdrasil Gaming,96.2,96.2,
Jekyll and Hyde,Ash Gaming,96.2,96.2,
Johnny Cash,BGaming,96.2,96.2,
Katmandu Gold,Elk Studios,96.2,96.2,
King of Kings,Relax Gaming,96.2,96.2,
Kings and Queens,Microgaming,96.2,96.2,
Land of Zenith,Push Gaming,96.2,96.2,
Luchadora,Thunderkick,96.2,96.2,
Lucky Rabbit's Loot,Genesis Gaming,96.2,96.2,
Magic Spell,Microgaming,96.2,96.2,
Manhattan Goes Wild,Nolimit City,96.2,96.2,
Matsuri,Play'n Go,96.2,96.2,
Mega Flip,Relax Gaming,96.2,96.2,
Mega Heist,Relax Gaming,96.2,96.2,
Mega Masks,Relax Gaming,96.2,96.2,
Mega Mine,Relax Gaming,96.2,96.2,
Money Train,Relax Gaming,96.2,96.2,
Monster Meteors,Microgaming,96.2,96.2,
Monte Carlo Jewels,World Match,96.2,96.2,
Mystery Reels Megaways,Red Tiger Gaming,96.2,96.2,
Narcos,Net Entertainment,96.2,96.2,
Niagara Falls,Yggdrasil Gaming,96.2,96.2,
Nikola Tesla's Incredible Machine,Yggdrasil Gaming,96.2,96.2,
Nirvana,Yggdrasil Gaming,96.2,96.2,
Octopays,Microgaming,96.2,96.2,
Owls,Nolimit City,96.2,96.2,
Party Box,Skywind Group,96.2,96.2,
Penguin City,Yggdrasil Gaming,96.2,96.2,
Phoenix Fire Power Reels,Red Tiger Gaming,96.2,96.2,
Pirates 2 Mutiny,Yggdrasil Gaming,96.2,96.2,
Pretty Kitty,Microgaming,96.2,96.2,
Pumpkin Smash,Yggdrasil Gaming,96.2,96.2,
Raccoon Tales,Evoplay Entertainment,96.2,96.2,
Raging Rhino Rampage,WMS Gaming,96.2,96.2,
Raging Rhino Ultra,WMS Gaming,96.2,96.2,
Rhyming Reels - Old King Cole,Microgaming,96.2,96.2,
Safari Heat,Playtech,96.2,96.2,
Sahara Nights,Yggdrasil Gaming,96.2,96.2,
Sea of Spins,Evoplay Entertainment,96.2,96.2,
Seasons,Yggdrasil Gaming,96.2,96.2,
Second Strike,Quickspin,96.2,96.2,
Serengeti Kings,Net Entertainment,96.2,96.2,
Snake Arena,Relax Gaming,96.2,96.2,
Spin the World,GamesOS,96.2,96.2,
Starquest,Big Time Gaming,96.2,96.2,
Starstruck,Nolimit City,96.2,96.2,
Sunny Shores,Yggdrasil Gaming,96.2,96.2,
Templar Tumble,Relax Gaming,96.2,96.2,
Temple Quest,Big Time Gaming,96.2,96.2,
Temple Tumble,Relax Gaming,96.2,96.2,
The Great Ming Empire,Playtech,96.2,96.2,
The Great Pigsby Megapays,Relax Gaming,96.2,96.2,
Tiger Kingdom,Relax Gaming,96.2,96.2,
Tomb of Nefertiti,Nolimit City,96.2,96.2,
Tombstone,Nolimit City,96.2,96.2,
Tower Quest,Play'n Go,96.2,96.2,
Trollpot 5000,Net Entertainment,96.2,96.2,
Turn Your Fortune,Net Entertainment,96.2,96.2,
Untamed - Bengal Tiger,Microgaming,96.2,96.2,
Untamed - Wolf Pack,Microgaming,96.2,96.2,
Valley of the Gods,Yggdrasil Gaming,96.2,96.2,
Volatile Vikings,Relax Gaming,96.2,96.2,
Wild Bazaar,Net Entertainment,96.2,96.2,
Wild Blood,Play'n Go,96.2,96.2,
Wild Pops,Yggdrasil Gaming,96.2,96.2,
Wilderland,Net Entertainment,96.2,96.2,
Zoom,Thunderkick,96.2,96.2,
Moon Shadow,Barcrest,96.1,98.1,
Hotline,Net Entertainment,96.1,97.0,
Rise of Maya,Net Entertainment,96.1,96.4,
Lucha Maniacs,Yggdrasil Gaming,96.1,96.2,
Adventure Palace,Microgaming,96.1,96.1,
Agent Jane Blonde,Microgaming,96.1,96.1,
Alchymedes,Yggdrasil Gaming,96.1,96.1,
Aldo's Journey,Yggdrasil Gaming,96.1,96.1,
All Fruits,World Match,96.1,96.1,
All Star Knockout,Yggdrasil Gaming,96.1,96.1,
All Star Knockout Ultra Gamble,Yggdrasil Gaming,96.1,96.1,
Animal Quest,Evoplay Entertainment,96.1,96.1,
Anna Van Helsping- Monster Huntress,Rabcat,96.1,96.1,
Arcader,Thunderkick,96.1,96.1,
Archangels: Salvation,Net Entertainment,96.1,96.1,
Atlantis Megaways,Yggdrasil Gaming,96.1,96.1,
Aztec Warrior Princess,Play'n Go,96.1,96.1,
Banana Town,Relax Gaming,96.1,96.1,
Bars and Stripes,Microgaming,96.1,96.1,
Batman and the Penguin Prize,Playtech,96.1,96.1,
Beat the Beast Cerberus' Inferno,Thunderkick,96.1,96.1,
Beat the Beast Griffin's Gold,Thunderkick,96.1,96.1,
Beat the Beast Kraken's Lair,Thunderkick,96.1,96.1,
Beat the Beast Mighty Sphinx,Thunderkick,96.1,96.1,
Beat the Beast Quetzalcoatl's Trial,Thunderkick,96.1,96.1,
Bejeweled Cascades,Blueprint Gaming,96.1,96.1,
Big Bucks Bandits Megaways,Yggdrasil Gaming,96.1,96.1,
Big Fin Bay,Thunderkick,96.1,96.1,
Black River Gold,Elk Studios,96.1,96.1,
Bloopers,Elk Studios,96.1,96.1,
Book of Power,Relax Gaming,96.1,96.1,
Book of Spells,Tom Horn Gaming,96.1,96.1,
Bruce Lee,WMS Gaming,96.1,96.1,
Captain's Treasure Pro,Playtech,96.1,96.1,
Cash Noire,Net Entertainment,96.1,96.1,
CashOccino,Microgaming,96.1,96.1,
CherryPOP,Yggdrasil Gaming,96.1,96.1,
Cheshire Wild,Skywind Group,96.1,96.1,
Cool Jewels,WMS Gaming,96.1,96.1,
Cosmic Voyager,Thunderkick,96.1,96.1,
Crazy Chameleons,Microgaming,96.1,96.1,
Crusader,Elk Studios,96.1,96.1,
Crystal Quest Arcane Tower,Yggdrasil Gaming,96.1,96.1,
Crystal Quest Deep Jungle,Thunderkick,96.1,96.1,
Crystal Quest Frostlands,Tom Horn Gaming,96.1,96.1,
Cygnus,Elk Studios,96.1,96.1,
Dolphin Quest,Microgaming,96.1,96.1,
Double Stacks,Net Entertainment,96.1,96.1,
Dragon Gems,Skywind Group,96.1,96.1,
Dragon Pearl,Red Tiger Gaming,96.1,96.1,
Easter Island,Yggdrasil Gaming,96.1,96.1,
Ecuador Gold,Elk Studios,96.1,96.1,
Elvis: The King Lives,WMS Gaming,96.1,96.1,
Emerald Diamond,Red Tiger Gaming,96.1,96.1,
Finn's Golden Tavern,Net Entertainment,96.1,96.1,
Flame Busters,Thunderkick,96.1,96.1,
Football Fans,Playtech,96.1,96.1,
Football Glory,Yggdrasil Gaming,96.1,96.1,
Frequent Flyer,Relax Gaming,96.1,96.1,
Frog Grog,Thunderkick,96.1,96.1,
Fruit Vegas,Mascot Gaming,96.1,96.1,
Full Moon Romance,Thunderkick,96.1,96.1,
Geisha's Fan,Tom Horn Gaming,96.1,96.1,
Gems of Adoria,Net Entertainment,96.1,96.1,
Gnome Wood,Rabcat,96.1,96.1,
Go Wild,World Match,96.1,96.1,
Gods of Giza,Genesis Gaming,96.1,96.1,
Gold Lab,Quickspin,96.1,96.1,
Gold Rush Showdown,Ash Gaming,96.1,96.1,
Golden Grizzly,Skywind Group,96.1,96.1,
Good to Go,Microgaming,96.1,96.1,
Hanzo's Dojo,Yggdrasil Gaming,96.1,96.1,
Happy Days,Blueprint Gaming,96.1,96.1,
Highway Gold,Skywind Group,96.1,96.1,
Hot 4 Cash,Nolimit City,96.1,96.1,
Hot Triple Sevens,Evoplay Entertainment,96.1,96.1,
Hungry Night,Evoplay Entertainment,96.1,96.1,
Ice Cave,Playtech,96.1,96.1,
Ice Wolf,Elk Studios,96.1,96.1,
Incinerator,Yggdrasil Gaming,96.1,96.1,
Irish Reels,Evoplay Entertainment,96.1,96.1,
Jack in a Pot,Red Tiger Gaming,96.1,96.1,
Jaguar Temple,Thunderkick,96.1,96.1,
Jelly Boom,Evoplay Entertainment,96.1,96.1,
Jewel Strike,Blueprint Gaming,96.1,96.1,
Jungle Books,Yggdrasil Gaming,96.1,96.1,
Jungle Trouble,Ash Gaming,96.1,96.1,
Jungle Trouble,BGO Studios,96.1,96.1,
Karaoke Party,Microgaming,96.1,96.1,
La Fiesta,Relax Gaming,96.1,96.1,
Ladies Nite,Microgaming,96.1,96.1,
Legacy of the Wild,Playtech,96.1,96.1,
Legend of the White Snake Lady,Yggdrasil Gaming,96.1,96.1,
Let's Get Ready to Rumble,Relax Gaming,96.1,96.1,
Life of Riches,Microgaming,96.1,96.1,
Lights,Net Entertainment,96.1,96.1,
Loose Cannon,Microgaming,96.1,96.1,
Love Potion,Microgaming,96.1,96.1,
Lucky Symbols,Bee-Fee,96.1,96.1,
Mad Hatters,Microgaming,96.1,96.1,
Midnight Show,Evoplay Entertainment,96.1,96.1,
Mining Fever,Rabcat,96.1,96.1,
Miss Wildfire,Elk Studios,96.1,96.1,
My Slot,Microgaming,96.1,96.1,
Mystic Dreams,Microgaming,96.1,96.1,
Net Gains,Relax Gaming,96.1,96.1,
Nitropolis,Elk Studios,96.1,96.1,
North Storm,Rabcat,96.1,96.1,
Not Enough Kittens,Thunderkick,96.1,96.1,
Olympic Slots,GamesOS,96.1,96.1,
Orient Express,Yggdrasil Gaming,96.1,96.1,
Oriental Fortune,Microgaming,96.1,96.1,
Party Island,Microgaming,96.1,96.1,
Pink Elephants,Thunderkick,96.1,96.1,
Pink Elephants 2,Thunderkick,96.1,96.1,
Power Plant,Yggdrasil Gaming,96.1,96.1,
Pyrons,Yggdrasil Gaming,96.1,96.1,
Ramses' Revenge,Relax Gaming,96.1,96.1,
Reptoids,Yggdrasil Gaming,96.1,96.1,
Respin Mania,Skywind Group,96.1,96.1,
Rhyming Reels - Hearts and Tarts,Microgaming,96.1,96.1,
Rock the Cash Bar,Yggdrasil Gaming,96.1,96.1,
Rome And Glory,Playtech,96.1,96.1,
Sails of Fortune,Relax Gaming,96.1,96.1,
Scudamore's Super Stakes,Net Entertainment,96.1,96.1,
Secret Admirer,Microgaming,96.1,96.1,
Shooting Stars,Mazooma,96.1,96.1,
Shooting Stars Supernova,Mazooma,96.1,96.1,
Silent Run,Net Entertainment,96.1,96.1,
Sloth Tumble,Relax Gaming,96.1,96.1,
Snowfall Queen,Skywind Group,96.1,96.1,
Space Invaders,Ash Gaming,96.1,96.1,
Spinions Beach Party,Quickspin,96.1,96.1,
Spring Break,Microgaming,96.1,96.1,
Street Fighter II,Net Entertainment,96.1,96.1,
Subtopia,Net Entertainment,96.1,96.1,
Summertime,Microgaming,96.1,96.1,
Super Elephant,Skywind Group,96.1,96.1,
Super Heroes,Yggdrasil Gaming,96.1,96.1,
Super Jackpot Block Party,WMS Gaming,96.1,96.1,
Super Lion,Skywind Group,96.1,96.1,
Super Stea,Skywind Group,96.1,96.1,
Superheroes,World Match,96.1,96.1,
Sweet 27,Play'n Go,96.1,96.1,
Tahiti Gold,Elk Studios,96.1,96.1,
Temple Stacks,Yggdrasil Gaming,96.1,96.1,
The Creepy Carnival,Nolimit City,96.1,96.1,
The Falcon Huntress,Thunderkick,96.1,96.1,
The Great Pigsby Megaways,Relax Gaming,96.1,96.1,
The Rat Pack,Microgaming,96.1,96.1,
The Royal Family,Yggdrasil Gaming,96.1,96.1,
The Wiz,Elk Studios,96.1,96.1,
Thunderstruck,Microgaming,96.1,96.1,
Tiger Moon,Microgaming,96.1,96.1,
TikiPop,Yggdrasil Gaming,96.1,96.1,
TNT Tumble,Relax Gaming,96.1,96.1,
Today's Weather,Genesis Gaming,96.1,96.1,
Top Dawg$,Relax Gaming,96.1,96.1,
Torii Tumble,Relax Gaming,96.1,96.1,
Tower Tumble,Relax Gaming,96.1,96.1,
Treasure Heroes,Rabcat,96.1,96.1,
Turning Totems,Thunderkick,96.1,96.1,
Vikings,Net Entertainment,96.1,96.1,
Vikings Go Berzerk,Yggdrasil Gaming,96.1,96.1,
Vikings Go To Hell,Yggdrasil Gaming,96.1,96.1,
Visitors,Elk Studios,96.1,96.1,
Voodoo Gold,Elk Studios,96.1,96.1,
Well of Wonders,Thunderkick,96.1,96.1,
Whisker Jones,1x2 Gaming,96.1,96.1,
Wild Chapo 2,Relax Gaming,96.1,96.1,
Wild Circus,Red Tiger Gaming,96.1,96.1,
Wild Heist at Peacock Manor,Thunderkick,96.1,96.1,
Wild Hike,Relax Gaming,96.1,96.1,
Wild Wishes,Ash Gaming,96.1,96.1,
Wild Yield,Relax Gaming,96.1,96.1,
Win Win,Elk Studios,96.1,96.1,
Yeti Battle of Greenhat Peak,Thunderkick,96.1,96.1,
Zeus III,WMS Gaming,96.1,96.1,
Ugga Bugga,Playtech,96.0,99.1,
Monopoly Big Event,Barcrest,96.0,99.0,
Ooh Aah Dracula,Barcrest,96.0,99.0,
Wall St Fever,Playtech,96.0,97.0,
Super Striker,Net Entertainment,96.0,96.9,
Conan,Net Entertainment,96.0,96.7,
Danger High Voltage,Big Time Gaming,96.0,96.2,
Koi Princess,Net Entertainment,96.0,96.2,
27 Hot Lines Deluxe Edition,Zeus Play,96.0,96.0,
3 Elements,Connective Games,96.0,96.0,
40 Flaming Lines,Zeus Play,96.0,96.0,
5G Turbo,Connective Games,96.0,96.0,
Abby and the Witch,Zeus Play,96.0,96.0,
Adventures Beyond Wonderland,Ash Gaming,96.0,96.0,
Arabian Dream and the Magic Lamps,Zeus Play,96.0,96.0,
Arctic Treasure,Playtech,96.0,96.0,
Asian Fantasy,Skywind Group,96.0,96.0,
Astro Fruit,OpenBet,96.0,96.0,
Avalon,Microgaming,96.0,96.0,
Aztec Treasure 3 Reel,Betsoft,96.0,96.0,
Batman and Mr Freeze Fortune,Playtech,96.0,96.0,
Battle Maidens,1x2 Gaming,96.0,96.0,
Big Bang,Net Entertainment,96.0,96.0,
Birds on a Wire,Thunderkick,96.0,96.0,
Black Mummy,Tom Horn Gaming,96.0,96.0,
Blood Lust,Elk Studios,96.0,96.0,
Bonanza,Big Time Gaming,96.0,96.0,
Book of Ming,Bee-Fee,96.0,96.0,
Book of Rest,Evoplay Entertainment,96.0,96.0,
BountyPop,Yggdrasil Gaming,96.0,96.0,
Brutal Santa,Evoplay Entertainment,96.0,96.0,
Buffalo Blitz,Playtech,96.0,96.0,
Bullseye,Microgaming,96.0,96.0,
Cashville,Microgaming,96.0,96.0,
Cazino Cosmos,Yggdrasil Gaming,96.0,96.0,
Cazino Zeppelin,Yggdrasil Gaming,96.0,96.0,
Chase the Cheese,Betsoft,96.0,96.0,
Chi,Elk Studios,96.0,96.0,
Classic 243,Rabcat,96.0,96.0,
Cluedo,IGT,96.0,96.0,
Cluster Slide,Elk Studios,96.0,96.0,
Combat Masters,Skywind Group,96.0,96.0,
Cool Buck 5 Reel,Microgaming,96.0,96.0,
Crazy Jewelry,Sheriff Gaming,96.0,96.0,
Crystal Forest,WMS Gaming,96.0,96.0,
Crystal Rift,Rabcat,96.0,96.0,
Diamond Hill,Tom Horn Gaming,96.0,96.0,
Diamond Jackpot,Betsoft,96.0,96.0,
Dino's Rhino,Sheriff Gaming,96.0,96.0,
Doctor Doctor,Microgaming,96.0,96.0,
Don Juan's Peppers,Tom Horn Gaming,96.0,96.0,
Double Bubble,Gamesys,96.0,96.0,
Double Bubble Jackpot,Gamesys,96.0,96.0,
Double Buffalo Spirit,WMS Gaming,96.0,96.0,
Double Dragons,Yggdrasil Gaming,96.0,96.0,
Double Scatter 7's,Skywind Group,96.0,96.0,
Doubles,Yggdrasil Gaming,96.0,96.0,
Dragon Riches,Tom Horn Gaming,96.0,96.0,
Dragon Riches Progressive,Tom Horn Gaming,96.0,96.0,
Dragon Tale,Viaden,96.0,96.0,
Dragon's Inferno,WMS Gaming,96.0,96.0,
Dragon's Myth,Rabcat,96.0,96.0,
Dream Zone,Elk Studios,96.0,96.0,
Drone Wars,Genesis Gaming,96.0,96.0,
Druids' Dream,Net Entertainment,96.0,96.0,
Egypt Cash,Skywind Group,96.0,96.0,
Electric Sam,Elk Studios,96.0,96.0,
Elements: The Awakening,Net Entertainment,96.0,96.0,
Elvis Frog in Vegas,BGaming,96.0,96.0,
EmotiCoins,Microgaming,96.0,96.0,
Epic Ape,Playtech,96.0,96.0,
Epic Monopoly 2,WMS Gaming,96.0,96.0,
Esqueleto Explosivo,Thunderkick,96.0,96.0,
Exploding Fruits,Evoplay Entertainment,96.0,96.0,
Extreme,Sheriff Gaming,96.0,96.0,
Faerie Nights,1x2 Gaming,96.0,96.0,
Fire Queen,WMS Gaming,96.0,96.0,
Fire Twenty Deluxe,Zeus Play,96.0,96.0,
Fluffy Rangers,Evoplay Entertainment,96.0,96.0,
Football Girls,Playtech,96.0,96.0,
Football Legends,Playtech,96.0,96.0,
Forest Dreams,Evoplay Entertainment,96.0,96.0,
Fortune Cookie,Microgaming,96.0,96.0,
Fortune Farm,Sheriff Gaming,96.0,96.0,
Forty Flaming Lines,Zeus Play,96.0,96.0,
Frankie Dettori's Magic Seven,Playtech,96.0,96.0,
Freaky Fruits,GamesOS,96.0,96.0,
Fruit O Matic,Connective Games,96.0,96.0,
Fruit Zen,Betsoft,96.0,96.0,
Gangster's Party,Connective Games,96.0,96.0,
Ghouls Gold,Betsoft,96.0,96.0,
Golden Dice 3,Zeus Play,96.0,96.0,
Golden Games,Playtech,96.0,96.0,
