game,publisher,min_rtp,max_rtp,default_rtp
Toki Time,Thunderkick,97.1,97.1,
Bonus Beans,Push Gaming,10.63,66.71,66.71
Gems of the Gods,Push Gaming,26.81,69.74,69.74
Humpty Dumpty (Push Gaming),Push Gaming,22.94,73.53,73.53
Peter & the Lost Boys,Push Gaming,34.58,61.95,61.95
Ultimate Dream Team,Push Gaming,19.26,55.82,55.82
Jungle Jim El Dorado,Games Global,96.31,96.31,
Tarzan (Microgaming),Games Global,96.0,96.0,
Dragonz,Games Global,96.46,96.46,
Joker Pro,NetEnt,96.8,96.8,
Arabian Caravan,Games Global,95.88,95.88,
Alaxe in Zombieland,Games Global,96.55,96.55,
Antique Riches,Genesis,97.05,97.05,
Bier Fest,Genesis,96.55,96.55,
Bloodlines,Genesis,94.55,94.55,
Mirror Magic,Genesis,97.34,97.34,
Cash Cauldron,Genesis,96.48,96.48,
Clash of Queens,Genesis,95.57,95.57,
Cool As Ice,Genesis,95.92,95.92,
Dinosaur Adventure,Genesis,97.25,97.25,
Dragons Rock,Genesis,97.13,97.13,
Drone Wars,Games Global,95.99,95.99,
"East of the Sun, West of the Moon",Genesis,94.91,94.91,
Euro Golden Cup,Genesis,94.35,94.35,
Gingerbread Lane,Genesis,95.88,95.88,
Gods of Giza (Genesis),Genesis,96.13,96.13,
Gothic,Games Global,95.33,95.33,
Hansel & Gretel (iSoftBet),iSoftBet,96.51,96.51,
Haunted Night,Genesis,95.72,95.72,
Hells Grannies,Games Global,95.14,95.14,
Jason's Quest,Genesis,94.5,94.5,
Leprechaun Legends,Genesis,96.03,96.03,
Lucky Rabbits Loot,Games Global,95.21,95.21,
Machine Gun Unicorn,Genesis,97.18,97.18,
More Cheese Please,Genesis,95.27,95.27,
Mount Olympus,Games Global,96.01,96.01,
Mystique Grove,Games Global,95.33,95.33,
Orc's Battle,Games Global,95.2,95.2,
Orion,Genesis,95.21,95.21,
Path of the Wizard,Games Global,97.0,97.0,
Phoenix and the Dragon,Games Global,95.6,95.6,
Ragnarok (Genesis),Genesis,94.5,94.5,
Reindeer Wild Wins,Genesis,96.21,96.21,
Robyn,Genesis,95.04,95.04,
Roller Derby,Games Global,94.26,94.26,
Royal Roller,Games Global,96.5,96.5,
Savanna King,Genesis,96.19,96.19,
Seven Deadly Sins,Genesis,,,
Space Botz,Genesis,95.24,95.24,
Star Crystals,Genesis,96.87,96.87,
Steam Punk Heroes,Games Global,95.88,95.88,
Surf Safari,Games Global,95.88,95.88,
Taboo Spell,Games Global,95.57,95.57,
Temple of Luxor,Genesis,97.1,97.1,
The Great Cashby,Genesis,97.09,97.09,
The Great Escape Artist,Genesis,97.23,97.23,
The Lost Princess Anastasia,Games Global,95.18,95.18,
Time Voyagers,Genesis,,,
Today's Weather,Genesis,96.13,96.13,
Valley of the Kings,Gamesys,95.2,95.2,
Victorian Villain,Games Global,95.72,95.72,
Winstones Resort & Casino,Genesis,95.65,95.65,
Yggdrasil: The Tree of Life Slots,Genesis,95.5,95.5,
Deep Sea Diver,Genesis,97.0,97.0,
Mystic Monkeys,Genesis,97.06,97.06,
Ski Jump,Genesis,97.3,97.3,
Disco Night Fright,Games Global,95.36,95.36,
Carnival Royale,Games Global,95.72,95.72,
Cannonball Bay,Games Global,96.0,96.0,
Dragon's Temple,IGT,96.5,96.5,
Skulls of Legend,iSoftBet,96.0,97.0,96.0
Emerald Isle (Flash),NextGen,94.5,94.5,
Great Wild Elk,NextGen,95.2,95.2,
Babushkas,Thunderkick,95.8,95.8,
Dancing in Rio,WMS,95.97,95.97,
Platoon Wild,iSoftBet,96.0,97.0,96.0
Cloud Tales,iSoftBet,95.0,96.0,95.0
24,iSoftBet,96.07,96.07,
Absolute Super Reels,iSoftBet,95.5,95.5,
Alice Adventure,iSoftBet,95.17,95.17,
Ambiance,iSoftBet,95.06,95.06,
Astro Magic,iSoftBet,96.54,96.54,
Basic Instinct,iSoftBet,95.76,95.76,
Best Things in Life,iSoftBet,95.56,95.56,
Beverley Hills 90210,iSoftBet,97.09,97.09,
Bewitched,iSoftBet,95.35,95.35,
Diamond Wild,iSoftBet,95.2,95.2,
Dolphin's Island,iSoftBet,96.56,96.56,
Fruit Boxes,iSoftBet,97.1,97.1,
Happy Birds,iSoftBet,95.64,95.64,
Heavy Metal Warriors,iSoftBet,96.29,96.29,
Illusions 2,iSoftBet,95.17,95.17,
Jackpot Rango,iSoftBet,95.41,95.41,
Kobushi,iSoftBet,95.56,95.56,
Lucky Leprechaun (Microgaming),Games Global,96.33,96.33,
Luxury Rome,iSoftBet,96.49,96.49,
Mega Boy,iSoftBet,95.54,95.54,
Million Cents HD,iSoftBet,95.5,95.5,
Mona Lisa Jewels,iSoftBet,95.56,95.56,
Musketeer Slot,iSoftBet,96.69,96.69,
Nacho Libre,iSoftBet,95.67,95.67,
Neon Reels,iSoftBet,95.4,95.4,
Ninja Chef,iSoftBet,95.17,95.17,
Pin Up Girls (iSoftBet),iSoftBet,95.24,95.24,
Platoon,iSoftBet,96.96,96.96,
Rambo (iSoftBet),iSoftBet,97.02,97.02,
Red Dragon Wild,iSoftBet,96.1,96.1,
Royal Cash,iSoftBet,95.22,95.22,
Scrolls of RA,iSoftBet,95.71,95.71,
Shaolin Spin,iSoftBet,97.15,97.15,
Spin or Reels,iSoftBet,95.8,95.8,
Spooky Family,iSoftBet,95.02,95.02,
Super Fast Hot Hot,iSoftBet,95.4,95.4,
Super Lady Luck,iSoftBet,95.46,95.46,
Super Lucky Reels,iSoftBet,95.5,95.5,
Super Multitimes Progressive,iSoftBet,95.5,95.5,
The Best Witch,iSoftBet,95.01,95.01,
The Love Guru,iSoftBet,95.41,95.41,
The Warriors,iSoftBet,95.01,95.01,
Ultimate Super Reels,iSoftBet,95.5,95.5,
Wisps (iSoftBet),iSoftBet,97.1,97.1,
World Tour (	iSoftBet),iSoftBet,95.0,96.0,95.0
2016 Gladiators,Endorphina,96.0,96.0,
Burning Hot (Amusnet),Amusnet,96.45,96.45,
Phoenix Sun,Quickspin,96.08,96.08,
Frozen Diamonds,Rabcat,97.0,97.0,
Max Damage and the Alien Attack Game ᐈ Game Info + Where to play,Games Global,96.71,96.71,
Wild Wild West,NetEnt,96.74,96.74,
Dragon's Myth,Rabcat,96.1,96.1,
Spectra,Thunderkick,96.4,96.4,
Emerald Isle,NextGen,96.59,96.59,
Fairytale Legends: Red Riding Hood,NetEnt,96.33,96.33,
Warlords: Crystals of Power,NetEnt,96.89,96.89,
Lost Vegas,Games Global,96.0,96.0,
1421 Voyages of Zheng He,IGT,96.03,96.03,
Great 88,Betsoft,95.36,95.36,
Bar Bar Black Sheep,Games Global,95.32,95.32,
Wild Orient,Games Global,97.5,97.5,
108 Heroes (MahiGaming),MahiGaming,96.56,96.56,
Sun Tide,Games Global,96.5,96.5,
Lucky Koi (Microgaming),Games Global,96.47,96.47,
Live Jazz,Genesis,97.26,97.26,
Ninja Magic,MahiGaming,96.15,96.15,
Golden Farm (Push Gaming),Push Gaming,44.41,52.13,52.13
Meet the Meerkats,Push Gaming,23.1,73.41,73.41
Slammin' 7s,iSoftBet,96.57,96.57,
River of Riches,Rabcat,96.0,96.0,
Forsaken Kingdom,Rabcat,96.54,96.54,
Castle Builder,Rabcat,96.47,96.47,
Legend of Olympus,Rabcat,95.47,95.47,
Club 2000,StakeLogic,95.0,95.0,
Dice Fortune Game ᐈ Free demo game!,StakeLogic,95.82,95.82,
Monkeys of the Universe,StakeLogic,96.52,96.52,
Extreme (StakeLogic),StakeLogic,96.59,96.59,
King Bam Bam,StakeLogic,95.82,95.82,
The Amsterdam Masterplan,StakeLogic,96.63,96.63,
Las Vegas Fever,StakeLogic,96.3,96.3,
Spartus,StakeLogic,96.61,96.61,
Joker Fortune,StakeLogic,95.89,95.89,
Fruit Smasher,StakeLogic,96.29,96.29,
Game 2000,StakeLogic,95.57,95.57,
Random 2 Wild,StakeLogic,95.0,95.0,
Random 2 Wins,StakeLogic,95.0,95.0,
Twin Joker,StakeLogic,97.79,97.79,
Cash & Camels,StakeLogic,,,
Random Runner (StakeLogic),StakeLogic,95.49,95.49,
Queen of Riches,Big Time Gaming,96.9,96.9,
Dragon Born,Big Time Gaming,95.0,95.0,
Temple Quest,Big Time Gaming,96.0,96.0,
Lucky Streak (Big Time Gaming),Big Time Gaming,93.0,93.0,
Viking Quest,Big Time Gaming,96.0,96.0,
Golden Goals,Big Time Gaming,92.07,92.07,
Haunted House (BTG),Big Time Gaming,91.9,91.9,
Temple Of Fortune,Big Time Gaming,94.93,94.93,
Gold (Big Time Gaming),Big Time Gaming,95.03,95.03,
Fruit Cake,Big Time Gaming,,,
Vegas Dreams,Big Time Gaming,96.3,96.3,
Feathered Frenzy Slot,Big Time Gaming,97.0,97.0,
Rocky Reactors,Big Time Gaming,,,
Diamonds (BTG),Big Time Gaming,,,
Feathered Frenzy,Big Time Gaming,96.3,96.3,
Joker Jackpot (Big Time Gaming),Big Time Gaming,,,
Mr Multiplier,Big Time Gaming,,,
Tumblin' Treasures,Big Time Gaming,,,
Bugs Party Game ᐈ Game Info + Where to play,Play'n Go,94.24,94.24,
Frog Grog,Thunderkick,96.1,96.1,
Dreams of Fortune,2by2 Gaming,96.02,96.02,
StarQuest,Big Time Gaming,96.9,96.9,
Wolf heart,2by2 Gaming,96.02,96.02,
Genie's Treasure (2by2),2by2 Gaming,94.99,94.99,
Time treasures,2by2 Gaming,,,
Gunsmoke,2by2 Gaming,96.01,96.01,
The voyages of Sinbad,2by2 Gaming,95.05,95.05,
Secrets of the tomb,2by2 Gaming,94.99,94.99,
Legends of Africa,2by2 Gaming,95.51,95.51,
Mandarin fortune,2by2 Gaming,95.05,95.05,
Diamond falls,2by2 Gaming,,,
Art masters,2by2 Gaming,,,
Greener Pasteur,2by2 Gaming,96.0,96.0,
Spell of Odin,2by2 Gaming,96.11,96.11,
The Forbidden Chamber,GamePlay,95.17,95.17,
Superman (NextGen),NextGen,95.4,95.4,
Monster Wins,NextGen,97.122,97.122,
Batman,NextGen,92.2,95.712,92.2
Green Lantern (NextGen),NextGen,92.35,95.341,92.35
The Flash (NextGen),NextGen,95.5,95.5,
Robin Hood - The Prince of Tweets,NextGen,93.383,96.965,96.965
Wolfpack Pays,NextGen,97.76,97.76,
King Kong NextGen,NextGen,95.142,95.142,
A Dragon Story,NextGen,95.223,95.618,95.618
Witch Pickings,NextGen,95.938,95.938,
Spin Sorceress,NextGen,94.62,94.62,
James Dean,NextGen,95.416,95.416,
Jack's Beanstalk,NextGen,95.459,95.459,
Cash Stampede,NextGen,95.27,95.27,
Starmania,NextGen,97.867,97.867,
Jackpot Jester Wild Nudge,NextGen,95.1,95.1,
Double Play SuperBet,NextGen,96.0,96.0,
Psycho,NextGen,95.0,95.0,
Bingo Billions,NextGen,95.044,95.044,
Gorilla Go Wild,NextGen,92.0,92.0,
The Spin Lab,NextGen,95.0,95.0,
An Evening with Holly Madison,NextGen,95.083,95.083,
Miss Midas,NextGen,95.0,96.0,95.0
Volcano Eruption,NextGen,95.0,96.0,95.0
Pandamania,NextGen,95.533,95.533,
Foxin' Wins Again,NextGen,95.6,95.6,
Judge Dredd,NextGen,95.0,96.0,95.0
Titan Storm,NextGen,95.453,95.453,
Wild West (NextGen),NextGen,95.0,95.0,
Casinomeister,NextGen,95.21,95.21,
Owl Eyes,NextGen,95.0,95.0,
1 Can 2 Can,NextGen,95.245,95.245,
Medusa 2,NextGen,97.07,97.07,
A While On The Nile,NextGen,95.631,95.631,
Merlin's Magic Respins,NextGen,95.323,95.323,
Dragon Drop,NextGen,95.23,95.23,
Extra Cash!!,NextGen,95.0,96.0,95.0
Foxin Wins,NextGen,95.6,95.6,
Merlin's Millions Superbet,NextGen,95.08,95.08,
Jackpot Jester 50k,NextGen,95.08,95.08,
Medusa (NextGen),NextGen,95.416,95.416,
Easy Slider,NextGen,95.0,95.0,
Super Safari,NextGen,95.416,95.416,
Irish Eyes 2,NextGen,95.04,95.04,
Potion Commotion,NextGen,95.0,95.0,
Wild Cat Canyon,NextGen,95.5,95.5,
5 Knights,NextGen,95.354,95.354,
Andre The Giant,NextGen,95.46,95.46,
Bangkok Nights,NextGen,95.12,95.12,
Big Foot (NextGen),NextGen,94.0,94.0,
Bobby 7's,NextGen,95.2,95.2,
Butterflies,NextGen,95.36,95.36,
California Gold,NextGen,95.199,95.199,
Call Of The Colosseum,NextGen,95.3,95.3,
Cherry Blossoms,NextGen,96.0,97.0,96.0
Crocodopolis,NextGen,95.332,95.383,95.383
Doctor Love,NextGen,95.04,95.04,
Doctor Love On Vacation,NextGen,95.4,95.4,
Dynasty,NextGen,95.293,95.293,
Eastern Dragon,NextGen,95.0,95.0,
Emperor's Garden,NextGen,95.3,95.3,
Enchanted Mermaid,NextGen,95.2,95.2,
Fairie's Forest,NextGen,95.3,95.3,
Fire Hawk,NextGen,95.0,96.0,95.0
Genie Wild,NextGen,95.34,95.34,
Gold A'hoy,NextGen,95.375,95.375,
Hot Roller,NextGen,95.12,95.12,
Irish Eyes,NextGen,95.1,95.1,
Joker Jester,NextGen,96.0,96.0,
King Tiger,NextGen,95.1,95.1,
Love Bugs,NextGen,95.0,96.0,95.0
Mad Mad Monkey,NextGen,95.4,95.4,
Maid o Money,NextGen,95.4,95.4,
Munchers,NextGen,95.4,95.4,
Napoleon Boney Parts,NextGen,95.0,95.0,
Oil Mania,NextGen,95.66,95.66,
Pizza Prize,NextGen,95.46,95.46,
Ramesses Riches,NextGen,95.4,95.4,
Shaaark! Superbet,NextGen,93.5,93.5,
Spanish Eyes,NextGen,95.1,95.1,
The Bermuda Mysteries,NextGen,95.3,95.3,
The Cod Father,NextGen,95.199,95.199,
The Snake Charmer,NextGen,95.0,95.0,
Tootin Car Man,NextGen,95.0,95.0,
Unicorn Legend (NextGen),NextGen,95.4,95.4,
Venetian Rose,NextGen,95.1,95.1,
La Cucaracha,NextGen,95.33,95.33,
Halloween Fortune II,Playtech,94.99,94.99,
Sapphire Sorceress,Gamesys,95.9,95.9,
Secrets of Christmas,NetEnt,96.72,96.72,
Paranormal Activity,iSoftBet,96.75,96.75,
Attack of the Zombies,Genesis,96.37,96.37,
Tianlong,GamesLab,95.239,95.239,
Bounty Hunt (Reel Play),Reel Play,95.54,95.54,
Snow Queen (2by2 Gaming),2by2 Gaming,96.02,96.02,
Wild Toro,ELK Studios,96.4,96.4,
Zuma (Gamesys),Gamesys,95.74,95.74,
A Girl's Best Friend,Gamesys,91.54,91.54,
Agatha Christie's Mystery Wilds,Gamesys,95.87,95.87,
Ballroom Stars,Gamesys,95.52,95.52,
Barnyard Bonanza (Gamesys),Gamesys,95.29,95.29,
Bejeweled 2,Gamesys,95.01,95.01,
Breakfast at Tiffany's,Gamesys,95.63,95.63,
Bullion Bonanza,Gamesys,91.72,93.89,93.89
Chasin Rainbows,Gamesys,95.25,95.25,
Deal or No Deal (Gamesys),Gamesys,90.2,90.2,
Double Bubble Slot Review & Best Casino Sites To Play In 2025,Roxor Gaming,96.02,96.02,
Family Fortunes,Gamesys,96.6,96.6,
Fortuna the Dragon,Gamesys,94.33,94.33,
Fun of the Fair,Gamesys,96.71,96.71,
Fun on the Seafront,Gamesys,95.9,95.9,
Houdini (Roxor Gaming),Roxor Gaming,96.27,96.27,
Frederic vs Francois  In It for the Monet,Gamesys,94.95,94.95,
Jalapeno Racers,Roxor Gaming,96.18,96.18,
Jet Set Rollers,Gamesys,,,
Jungle Jump,Gamesys,95.94,95.94,
Monopoly Paradise Mansion,Gamesys,96.29,96.29,
Secrets of the Phoenix,Roxor Gaming,94.98,94.98,
Tiki Totems,Roxor Gaming,94.97,94.97,
Buster Hammer,Reel Play,95.89,95.89,
Lolly Land (Chance Interactive),Chance Interactive,95.18,95.18,
Bloodlore Vampire clan,NextGen,95.43,95.43,
Fruit Fortune,Greentube,94.0,94.0,
Kingdom of Legend™,Novomatic,95.15,95.15,
Sea Beauty™,Novomatic,95.04,95.04,
Asian Attraction™,Novomatic,,,
Autumn Queen™,Novomatic,95.04,95.04,
Wild Spinner™,Eurocoin Interactive,,,
Blazing Riches,Novomatic,,,
Cash Runner,Novomatic,,,
Bars & Sevens,Novomatic,,,
Reel King™ Free Spin Frenzy,Novomatic,95.31,95.31,
Super Hot 7's (Green Tube),Novomatic,95.31,95.31,
The Wild Wood™,Novomatic,95.17,95.17,
Random Runner VIP,Greentube,95.29,95.29,
Jolly Reels,Novomatic,90.0,90.0,
Helena™,Novomatic,95.12,95.12,
Dynasty of Ra™,Greentube,95.01,95.01,
Lucky Jolly,Novomatic,90.0,90.0,
Summer Queen™,Novomatic,90.09,90.09,
The Winning Pick™,Novomatic,,,
Star Lotto,Eurocoin Interactive,,,
Perchta,Novomatic,,,
Red Hot Repeater (Green Tube),Novomatic,95.67,95.67,
13,Greentube,,,
Bikini Beach (GamePlay),GamePlay,,,
Jungle Explorer (Greentube),Novomatic,95.0,95.0,
King of the Pride,Mazooma,95.11,95.11,
Spring Queen,Novomatic,90.1,90.1,
Dragon's Pearl (Amatic),Amatic Industries,96.0,96.0,
Monkey's Millions,Novomatic,95.0,95.0,
Jewels of the sea,Novomatic,94.98,94.98,
Dice Winner,Greentube,,,
Fabulous Fruits,Eurocoin Interactive,,,
Highroller Jackpot,Novomatic,,,
Reel King Potty,Greentube,95.0,95.0,
Wild West (Mazooma),Novomatic,97.06,97.06,
Wild Horses (Green Tube),Novomatic,95.0,95.0,
Diamond Street,Novomatic,,,
Cleopatra's Choice,Novomatic,95.13,95.13,
Fates and Furies,Novomatic,,,
Zenia Queen of War,Novomatic,95.1,95.1,
Jackpot Diamonds,Novomatic,97.07,97.07,
5 Line Multiplay,Eurocoin Interactive,95.0,95.0,
Dr. Enlarg-o,Novomatic,95.0,95.0,
Winner´s Car Wash,Novomatic,95.0,95.0,
Cleopatra Last of the Pharaohs,Novomatic,95.17,95.17,
Hold it Casino,Greentube,95.0,95.0,
Spinning Fruits (Green Tube),Novomatic,94.01,94.01,
Reel Attraction,Novomatic,95.11,95.11,
Elven Princess,Novomatic,94.0,94.0,
Haul of Hades,Greentube,96.01,96.01,
5 Line Mystery,Greentube,95.6,95.6,
Cirque du Cheval,Novomatic,95.0,95.0,
Cupid´s Arrow,Novomatic,95.0,95.0,
Slick Riches (Greentube),Novomatic,96.0,96.0,
Wild Adventure (Green Tube),Novomatic,94.0,94.0,
Bella Donna,Novomatic,95.0,95.0,
Jingle Jackpot,Novomatic,96.45,96.45,
Lovely Mermaid,Novomatic,94.0,94.0,
Cash 300 Casino,Eurocoin Interactive,95.0,95.0,
7´s Gold Casino,Eurocoin Interactive,95.0,95.0,
Dragon's Deep,Big Wave Gaming,95.06,95.06,
Faust,Greentube,95.1,95.1,
Shooting Stars,Greentube,96.12,96.12,
Plenty of Fruit 20 Hot,Greentube,95.24,95.24,
Plenty of Fruit 40,Greentube,95.1,95.1,
Plenty of Jewels 20 Hot,Novomatic,95.24,95.24,
Plenty of Fruit 20,Greentube,95.24,95.24,
Fruit Fall,Octavian Gaming,93.97,93.97,
Pharaoh´s Night,Novomatic,93.92,93.92,
Sparkling Gems,Novomatic,94.0,94.0,
Rings of Fortune,Novomatic,94.0,94.0,
Pumpkin Power,Novomatic,95.19,95.19,
Fruit Fest,Greentube,95.0,95.0,
Lava Loot,Novomatic,95.03,95.03,
American Gangster,Big Wave Gaming,95.04,95.04,
Sweet Spins,Big Wave Gaming,95.01,95.01,
Ultra Sevens,Novomatic,94.0,94.0,
Book of Maya (Greentube),Greentube,95.18,95.18,
Crazy Slots,Greentube,84.0,84.0,
Frogs Fairy Tale,Novomatic,94.45,94.45,
Dragon's Wild Fire,Novomatic,95.0,95.0,
Gryphon's Gold deluxe,Novomatic,95.13,95.13,
King´s Jester,Novomatic,94.0,94.0,
Book of Ra deluxe 6,Greentube,95.03,95.03,
GOLDEN X casino,Eurocoin Interactive,95.0,95.0,
Twisted Pays,Novomatic,95.0,95.0,
5 Line Jokers,Eurocoin Interactive,95.0,95.0,
Seven´s,iGaming2go,95.23,95.23,
Frog Princess (iGaming2go),iGaming2go,95.76,95.76,
Book of Stars,Greentube,95.16,95.16,
Zrecnyk Magik®,Novomatic,95.29,95.29,
Always Hot Cubes,Greentube,95.36,95.36,
Supra Hot,Greentube,95.2,95.2,
Bubbles (Greentube),Novomatic,96.15,96.15,
River Queen,Greentube,95.26,95.26,
King of Cards,Greentube,95.0,95.0,
Bar 7's,Novomatic,95.02,95.02,
Two Sevens,Novomatic,94.0,94.0,
Magic27,Novomatic,95.08,95.08,
Fruit Drops,Novomatic,95.08,95.08,
Pure Jewels,Novomatic,95.05,95.05,
Wonder World (Eurocoin Interactive),Eurocoin Interactive,94.91,94.91,
Ninja´s Path,Big Wave Gaming,95.095,95.095,
Diamonds of Fortune,Novomatic,96.45,96.45,
Jokers Casino,Eurocoin Interactive,95.0,95.0,
Power Joker,Greentube,92.0,92.0,
Always Hot deluxe,Greentube,95.36,95.36,
Volcanic Cash,Novomatic,95.03,95.03,
Red Lady,Greentube,95.1,95.1,
Mighty Trident,Novomatic,95.5,95.5,
Multi Dice,Greentube,94.91,94.91,
Sizzling Gems,Greentube,95.66,95.66,
Wild Rescue,Novomatic,95.0,95.0,
Wild Thing,Eurocoin Interactive,95.02,95.02,
Inferno (Gamshy),Gamshy,96.05,96.05,
Amazing Stars,Greentube,94.0,94.0,
Magic 81 Lines,Greentube,95.06,95.06,
Cleopatra Queen of Slots (Green Tube),Novomatic,95.17,95.17,
Sinderella,Novomatic,95.07,95.07,
Grand Slam Casino,Greentube,95.0,95.0,
Bloody Love,iGaming2go,93.77,93.77,
Anubix (iGaming2go),iGaming2go,94.03,94.03,
Garden of Riches,Greentube,94.25,94.25,
Sizzling 6,Novomatic,95.09,95.09,
Flamenco Roses,Greentube,95.09,95.09,
Spinderella,Novomatic,95.17,95.17,
Gemstone Jackpot,Novomatic,95.08,95.08,
Hoffmeister,Novomatic,95.09,95.09,
Armadillo Artie Dash for Cash,Novomatic,95.0,95.0,
Clockwork Oranges,Novomatic,95.07,95.07,
Showgirls,Novomatic,94.93,94.93,
Sizzling Hot Quattro,Greentube,95.36,95.36,
Rainbow Reels (Greentube),Novomatic,95.0,95.0,
Super Dice,Greentube,94.98,94.98,
Random Runner 15,Greentube,95.0,95.0,
Wizard of Odds,Novomatic,93.29,93.29,
Bear Tracks,Design Works Gaming,96.21,96.21,
Mystery Star (Eurocoin Interactive),Eurocoin Interactive,95.1,95.1,
Happy Fruits,Novomatic,95.0,95.0,
Hold your horses,Design Works Gaming,95.0,95.0,
Golden Cobras deluxe,Novomatic,95.41,95.41,
The Real King Aloha Hawaii,Novomatic,95.0,95.0,
Hoffmania,Novomatic,94.16,94.16,
The Royals,Novomatic,94.0,94.0,
Orca (Greentube),Novomatic,95.06,95.06,
Caribbean Holidays,Greentube,93.01,93.01,
Fruits´n Sevens,Novomatic,94.38,94.38,
Bugs´n Bees,Novomatic,96.99,96.99,
Xtra Hot,Greentube,95.66,95.66,
Win Wizard,Novomatic,94.0,94.0,
Ultra Hot deluxe,Greentube,95.17,95.17,
Spinning Stars,Novomatic,95.11,95.11,
Sizzling Hot Deluxe Demo & Review,Greentube,95.66,95.66,
Roaring Forties,Greentube,95.48,95.48,
Reel King Slot Review & Free Demo,Inspired Gaming,94.0,94.0,
Power Stars,Greentube,95.54,95.54,
Plenty on Twenty,Greentube,95.61,95.61,
Party Games Slotto,Novomatic,94.06,94.06,
Mega Joker (Novomatic),Greentube,95.05,95.05,
Just Jewels deluxe,Greentube,95.42,95.42,
Jolly Fruits,Novomatic,93.94,93.94,
Jackpot Crown,Greentube,94.09,94.09,
Hot Chance,Greentube,95.17,95.17,
Golden Sevens (Green Tube),Greentube,95.1,95.1,
Golden 7 (Green Tube),Novomatic,94.0,94.0,
4 Reel Kings,Greentube,94.0,94.0,
Fruits´n Royals,Novomatic,95.66,95.66,
Fruit Sensation,Novomatic,94.98,94.98,
Fruit Farm (Green Tube),Novomatic,95.13,95.13,
Firestarter,Novomatic,95.16,95.16,
Easy peasy Lemon squeezy,Novomatic,94.0,94.0,
Diamond 7 (Greentube),Novomatic,95.66,95.66,
Bullion Bars (Greentube),Novomatic,94.0,94.0,
Cops'n' Robbers  (Green Tube),Greentube,95.02,95.02,
Win Wizards,Novomatic,95.18,95.18,
Two Mayans,Novomatic,95.18,95.18,
The Alchemist (Green Tube),Novomatic,93.98,93.98,
Sharky,Novomatic,95.53,95.53,
Secrets of the Sand,Novomatic,95.1,95.1,
Secret Elixir,Novomatic,95.05,95.05,
Sea Sirens,Novomatic,95.13,95.13,
Rumpel Wildspins,Greentube,95.1,95.1,
Royal Dynasty,Novomatic,94.0,94.0,
Rex,Novomatic,95.0,95.0,
Ramses II,Novomatic,93.506,93.506,
Rainbow King,Novomatic,95.0,95.0,
Quest for Gold,Novomatic,94.4,94.4,
Queen of Hearts deluxe,Greentube,95.31,95.31,
Pharaoh´s Tomb (Green Tube),Greentube,95.08,95.08,
Pharaoh's Ring,Greentube,95.19,95.19,
Mystic Secrets,Greentube,93.06,93.06,
Mermaid's Pearl (Novomatic),Greentube,95.21,95.21,
Mayan Moons,Novomatic,95.16,95.16,
Magic Princess,Novomatic,94.0,94.0,
Lucky Rose,Novomatic,95.23,95.23,
Lord of the Ocean,Greentube,95.1,95.1,
King´s Treasure,Novomatic,95.85,95.85,
Knights Quest,Novomatic,95.29,95.29,
Katana (Greentube),Greentube,95.02,95.02,
Jewel Action,Novomatic,94.0,94.0,
Indian Spirit,Greentube,95.34,95.34,
Gorilla,Greentube,95.09,95.09,
Golden Ark,Greentube,95.1,95.1,
Flame Dancer,Greentube,95.29,95.29,
Fairy Queen,Greentube,95.09,95.09,
Dolphin´s Pearl deluxe,Greentube,95.13,95.13,
Dolphin's Pearl,Greentube,95.13,95.13,
Dazzling Diamonds,Novomatic,95.42,95.42,
Costa del Cash,Novomatic,95.01,95.01,
Columbus deluxe,Greentube,95.02,95.02,
Cindereela,Novomatic,95.12,95.12,
Chicago (Green Tube),Greentube,95.03,95.03,
Cat Scratch Fever,Novomatic,95.0,95.0,
Cash Farm,Novomatic,95.0,95.0,
Captain Venture,Greentube,94.01,94.01,
Book of Ra Deluxe Slot Review & Free Play,Greentube,95.1,95.1,
Big Catch,Novomatic,94.0,94.0,
Beetle Mania deluxe,Novomatic,94.19,94.19,
Aztec Power,Novomatic,95.25,95.25,
African Simba,Greentube,95.2,95.2,
Book Of Ra Demo & Review,Greentube,92.13,92.13,
Lucky Lady's Charm deluxe Slot ᐈ Review + Where to play,Greentube,95.13,95.13,
Kawaii Kitty,Betsoft,95.27,95.27,
EiG2016,Endorphina,96.0,96.0,
Cherry Trio,iSoftBet,96.3,96.3,
Turning Totems,Thunderkick,96.1,96.1,
Manic Millions,NextGen,95.25,95.25,
Charms and Witches,Side City,95.533,95.533,
Batman & Catwoman Cash,Playtech,0.99,95.11,95.11
Batman & The Joker Jewels,Playtech,95.01,95.01,
John Doe,StakeLogic,95.97,95.97,
The Book,StakeLogic,96.7,96.7,
7 Monkeys,Pragmatic Play,92.71,92.71,
Journey to the West (Pragmatic Play),Pragmatic Play,94.04,94.04,
Justice League (NextGen),NextGen,96.5,96.5,
Haunted House (Playtech),Playtech,96.71,96.71,
Xcalibur (Microgaming),Games Global,97.62,97.62,
Mega fortune dreams,NetEnt,95.9,95.9,
Huangdi-The Yellow Emperor,Games Global,96.5,96.5,
Vikings Go Berzerk,Yggdrasil,96.1,96.1,
221B Baker Street,Merkur,96.0,96.0,
5x Magic,Play'n Go,93.47,93.47,
Bikini Party (Microgaming),Games Global,96.52,96.52,
Bell Of Fortune,Play'n Go,94.12,94.12,
Gift Shop,Play'n Go,94.12,94.12,
