game,publisher,min_rtp,max_rtp,default_rtp
Big Break,Games Global,95.29,95.29,
Big Kahuna,Games Global,95.1,95.1,
Booty Time,Games Global,96.48,96.48,
Break Away (Games Global),Games Global,96.29,96.29,
Break da Bank,Games Global,95.43,95.43,
Break da Bank Again,Games Global,95.43,95.43,
Bridesmaids,Games Global,96.71,96.71,
Bulls Eye,Games Global,96.04,96.04,
Burning Desire,Games Global,96.19,96.19,
Bust The Bank,Games Global,96.75,96.75,
Cashapillar,Games Global,95.13,95.13,
Carnaval,Games Global,96.94,96.94,
Cashville,Games Global,95.99,95.99,
Centre Court,Games Global,95.51,95.51,
Chain Mail,Games Global,96.44,96.44,
Cool Wolf,Games Global,96.47,96.47,
Cricket Star,Games Global,97.0,97.0,
Deck the Halls,Games Global,95.38,95.38,
Eagle's Wings,Games Global,96.47,96.47,
Fat Lady Sings,Games Global,96.53,96.53,
Fish Party,Games Global,96.0,96.0,
Football Star (Microgaming),Games Global,96.29,96.29,
Game of Thrones 243 Ways,Games Global,95.07,95.07,
Georgie Porgie,Games Global,95.97,95.97,
Gift Rap,Games Global,96.62,96.62,
Girls With Guns,Games Global,96.55,96.55,
Girls With Guns - Frozen Dawn,Games Global,96.26,96.26,
Gold Factory,Games Global,96.54,96.54,
Golden Era (Microgaming),Games Global,96.56,96.56,
Golden Princess (Microgaming),Games Global,96.18,96.18,
Gopher Gold,Games Global,96.28,96.28,
Great Griffin,Games Global,96.79,96.79,
Gung Pow,Games Global,96.19,96.19,
Halloweenies,Games Global,95.52,95.52,
Happy Holidays (Games Global),Games Global,96.62,96.62,
Hearts & Tarts,Games Global,96.1,96.1,
Hellboy,Games Global,96.49,96.49,
High Society,Games Global,96.8,96.8,
Hitman,Games Global,95.84,95.84,
Ho Ho Ho (Microgaming),Games Global,95.88,95.88,
Hot as Hades,Games Global,96.75,96.75,
Hot Ink,Games Global,96.49,96.49,
Hound Hotel,Games Global,96.25,96.25,
"Immortal Romance Slot Review, Free Demo & Best Casinos to Play",Games Global,96.86,96.86,
Jack & Jill,Games Global,96.43,96.43,
Jekyll And Hyde (Microgaming),Games Global,95.36,95.36,
Jewels of the Orient,Games Global,96.5,96.5,
Karate Pig,Games Global,96.52,96.52,
King Cashalot,Games Global,91.0,91.0,
Kings of Cash,Games Global,96.68,96.68,
Kitty Cabana,Games Global,96.5,96.5,
Ladies Nite,Games Global,96.1,96.1,
Lady in Red,Games Global,96.25,96.25,
Leagues of Fortune,Games Global,96.49,96.49,
Lion's Pride (Microgaming),Games Global,95.9,95.9,
Loose Cannon,Games Global,96.13,96.13,
Lord of the Rings,Games Global,96.3,96.3,
Lots a Loot 5 Reel,Games Global,89.95,89.95,
Lucky Zodiac (Microgaming),Games Global,96.01,96.01,
Mad Hatters,Games Global,96.08,96.08,
Magic Spell,Games Global,96.22,96.22,
Major Millions,Games Global,89.37,89.37,
Max Damage,Games Global,95.98,95.98,
Mega Moolah Slot Review & Free Demo,Games Global,88.12,88.12,
