game,publisher,min_rtp,max_rtp,default_rtp
Amigos Fiesta,Spinomenal,97.51,97.51,
Code Name: Jackpot,Spinomenal,97.51,97.51,
Bowl-a-Palooza,Galewind Software,97.5,97.5,
Brittonaire,Cozy Games,97.5,97.5,
Crazy 8 Line,Galewind Software,97.5,97.5,
Gems of Isis,Galewind Software,97.5,97.5,
Golden Goal,Galewind Software,97.5,97.5,
Hot Ink,Microgaming,97.5,97.5,
Hot Peppers,Galewind Software,97.5,97.5,
Lady Glamour,World Match,97.5,97.5,
Love Lab,World Match,97.5,97.5,
Lucky Lanterns,Galewind Software,97.5,97.5,
Retro Reels - Extreme Heat,Microgaming,97.5,97.5,
Safari Sam,Betsoft,97.5,97.5,
Simsalabim,Net Entertainment,97.5,97.5,
Take it or Stake it,Galewind Software,97.5,97.5,
Wild Orient,Microgaming,97.5,97.5,
Arena de Toros,World Match,94.8,97.5,
Scary Fruits,World Match,94.8,97.5,
Ghosts Night,World Match,94.1,97.5,
Glamour Hills,World Match,94.1,97.5,
Achilles,Realtime Gaming,91.0,97.5,
Aladdins Wishes,Realtime Gaming,91.0,97.5,
Ancient Gods,Realtime Gaming,91.0,97.5,
Asgard,Realtime Gaming,91.0,97.5,
Bubble Bubble,Realtime Gaming,91.0,97.5,
Bubble Bubble 2,Realtime Gaming,91.0,97.5,
Builder Beaver,Realtime Gaming,91.0,97.5,
Caesar's Empire,Realtime Gaming,91.0,97.5,
Cai Hong,Realtime Gaming,91.0,97.5,
Cash Bandits,Realtime Gaming,91.0,97.5,
Cash Bandits 2,Realtime Gaming,91.0,97.5,
Cleopatra's Gold,Realtime Gaming,91.0,97.5,
Count Spectacular,Realtime Gaming,91.0,97.5,
Coyote Cash,Realtime Gaming,91.0,97.5,
Crystal Waters,Realtime Gaming,91.0,97.5,
Cubee,Realtime Gaming,91.0,97.5,
Double Ya Luck,Realtime Gaming,91.0,97.5,
Dragon Orb,Realtime Gaming,91.0,97.5,
Eagle Shadow Fist,Realtime Gaming,91.0,97.5,
Enchanted Garden,Realtime Gaming,91.0,97.5,
Enchanted Garden 2,Realtime Gaming,91.0,97.5,
Eternal Love,Realtime Gaming,91.0,97.5,
Fantasy Mission Force,Realtime Gaming,91.0,97.5,
Fat Cat Cafe,Realtime Gaming,91.0,97.5,
Fire Dragon,Realtime Gaming,91.0,97.5,
Football Fortunes,Realtime Gaming,91.0,97.5,
Football Frenzy,Realtime Gaming,91.0,97.5,
Fortune Frog,Realtime Gaming,91.0,97.5,
Fu Chi,Realtime Gaming,91.0,97.5,
Fucanglong,Realtime Gaming,91.0,97.5,
Gemtopia,Realtime Gaming,91.0,97.5,
Ghost Ship,Realtime Gaming,91.0,97.5,
God of Wealth,Realtime Gaming,91.0,97.5,
Gods of Nature,Realtime Gaming,91.0,97.5,
Goldbeard,Realtime Gaming,91.0,97.5,
Heavenly Treasure,Realtime Gaming,91.0,97.5,
Henhouse,Realtime Gaming,91.0,97.5,
High Fashion,Realtime Gaming,91.0,97.5,
Hillbillies,Realtime Gaming,91.0,97.5,
"I, Zombie",Realtime Gaming,91.0,97.5,
Kung Fu Rooster,Realtime Gaming,91.0,97.5,
Loch Ness Loot,Realtime Gaming,91.0,97.5,
Lucha Libre 2,Realtime Gaming,91.0,97.5,
Lucky 6,Realtime Gaming,91.0,97.5,
Lucky 8,Realtime Gaming,91.0,97.5,
Lucky Rat,Realtime Gaming,91.0,97.5,
Mermaid Queen,Realtime Gaming,91.0,97.5,
Naughty Or Nice,Realtime Gaming,91.0,97.5,
Naughty or Nice Spring Break,Realtime Gaming,91.0,97.5,
Nova 7s,Realtime Gaming,91.0,97.5,
Ocean Oddities,Realtime Gaming,91.0,97.5,
Panda Magic,Realtime Gaming,91.0,97.5,
Panda's Gold,Realtime Gaming,91.0,97.5,
Paydirt,Realtime Gaming,91.0,97.5,
Penguin Power,Realtime Gaming,91.0,97.5,
Pig Winner,Realtime Gaming,91.0,97.5,
Plentiful Treasure,Realtime Gaming,91.0,97.5,
Popinata,Realtime Gaming,91.0,97.5,
Purrfect Pets,Realtime Gaming,91.0,97.5,
Regal Riches,Realtime Gaming,91.0,97.5,
Return Of The Rudolph,Realtime Gaming,91.0,97.5,
Ritchie Valens La Bamba,Realtime Gaming,91.0,97.5,
Rudolph's Revenge,Realtime Gaming,91.0,97.5,
Samba Sunset,Realtime Gaming,91.0,97.5,
Santastic,Realtime Gaming,91.0,97.5,
Scuba Fishing,Realtime Gaming,91.0,97.5,
Secret Jungle,Realtime Gaming,91.0,97.5,
Secret Symbol,Realtime Gaming,91.0,97.5,
Shanghai Lights,Realtime Gaming,91.0,97.5,
Small Fortune,Realtime Gaming,91.0,97.5,
